Other myositis  unspecified upper arm,M60829,
Other myositis  right forearm,M60831,
Other myositis  left forearm,M60832,
Other myositis  unspecified forearm,M60839,
Other myositis  right hand,M60841,
Other myositis  left hand,M60842,
Other myositis  unspecified hand,M60849,
Other myositis  right thigh,M60851,
Other myositis  left thigh,M60852,
Other myositis  unspecified thigh,M60859,
Other myositis  right lower leg,M60861,
Other myositis  left lower leg,M60862,
Other myositis  unspecified lower leg,M60869,
Other myositis  right ankle and foot,M60871,
Other myositis  left ankle and foot,M60872,
Other myositis  unspecified ankle and foot,M60879,
Other myositis  other site,M6088,
Other myositis  multiple sites,M6089,
Myositis  unspecified,M609,
Myositis ossificans traumatica  unspecified site,M6100,
Myositis ossificans traumatica  right shoulder,M61011,
Myositis ossificans traumatica  left shoulder,M61012,
Myositis ossificans traumatica  unspecified shoulder,M61019,
Myositis ossificans traumatica  right upper arm,M61021,
Myositis ossificans traumatica  left upper arm,M61022,
Myositis ossificans traumatica  unspecified upper arm,M61029,
Myositis ossificans traumatica  right forearm,M61031,
Myositis ossificans traumatica  left forearm,M61032,
Myositis ossificans traumatica  unspecified forearm,M61039,
Myositis ossificans traumatica  right hand,M61041,
Myositis ossificans traumatica  left hand,M61042,
Myositis ossificans traumatica  unspecified hand,M61049,
Myositis ossificans traumatica  right thigh,M61051,
Myositis ossificans traumatica  left thigh,M61052,
Myositis ossificans traumatica  unspecified thigh,M61059,
Myositis ossificans traumatica  right lower leg,M61061,
Myositis ossificans traumatica  left lower leg,M61062,
Myositis ossificans traumatica  unspecified lower leg,M61069,
Myositis ossificans traumatica  right ankle and foot,M61071,
Myositis ossificans traumatica  left ankle and foot,M61072,
Myositis ossificans traumatica  unspecified ankle and foot,M61079,
Myositis ossificans traumatica  other site,M6108,
Myositis ossificans traumatica  multiple sites,M6109,
Myositis ossificans progressiva  unspecified site,M6110,
Myositis ossificans progressiva  right shoulder,M61111,
Myositis ossificans progressiva  left shoulder,M61112,
Myositis ossificans progressiva  unspecified shoulder,M61119,
Myositis ossificans progressiva  right upper arm,M61121,
Myositis ossificans progressiva  left upper arm,M61122,
Myositis ossificans progressiva  unspecified arm,M61129,
Myositis ossificans progressiva  right forearm,M61131,
Myositis ossificans progressiva  left forearm,M61132,
Myositis ossificans progressiva  unspecified forearm,M61139,
Myositis ossificans progressiva  right hand,M61141,
Myositis ossificans progressiva  left hand,M61142,
Myositis ossificans progressiva  unspecified hand,M61143,
Myositis ossificans progressiva  right finger(s),M61144,
Myositis ossificans progressiva  left finger(s),M61145,
Myositis ossificans progressiva  unspecified finger(s),M61146,
Myositis ossificans progressiva  right thigh,M61151,
Myositis ossificans progressiva  left thigh,M61152,
Myositis ossificans progressiva  unspecified thigh,M61159,
Myositis ossificans progressiva  right lower leg,M61161,
Myositis ossificans progressiva  left lower leg,M61162,
Myositis ossificans progressiva  unspecified lower leg,M61169,
Myositis ossificans progressiva  right ankle,M61171,
Myositis ossificans progressiva  left ankle,M61172,
