Unspecified injury of left renal vein  subsequent encounter,S35405D,
Unspecified injury of left renal vein  sequela,S35405S,
Unspecified injury of unspecified renal vein  initial encounter,S35406A,
Unspecified injury of unspecified renal vein  subsequent encounter,S35406D,
Unspecified injury of unspecified renal vein  sequela,S35406S,
Laceration of right renal artery  initial encounter,S35411A,
Laceration of right renal artery  subsequent encounter,S35411D,
Laceration of right renal artery  sequela,S35411S,
Laceration of left renal artery  initial encounter,S35412A,
Laceration of left renal artery  subsequent encounter,S35412D,
Laceration of left renal artery  sequela,S35412S,
Laceration of unspecified renal artery  initial encounter,S35413A,
Laceration of unspecified renal artery  subsequent encounter,S35413D,
Laceration of unspecified renal artery  sequela,S35413S,
Laceration of right renal vein  initial encounter,S35414A,
Laceration of right renal vein  subsequent encounter,S35414D,
Laceration of right renal vein  sequela,S35414S,
Laceration of left renal vein  initial encounter,S35415A,
Laceration of left renal vein  subsequent encounter,S35415D,
Laceration of left renal vein  sequela,S35415S,
Laceration of unspecified renal vein  initial encounter,S35416A,
Laceration of unspecified renal vein  subsequent encounter,S35416D,
Laceration of unspecified renal vein  sequela,S35416S,
Other specified injury of right renal artery  initial encounter,S35491A,
Other specified injury of right renal artery  subsequent encounter,S35491D,
Other specified injury of right renal artery  sequela,S35491S,
Other specified injury of left renal artery  initial encounter,S35492A,
Other specified injury of left renal artery  subsequent encounter,S35492D,
Other specified injury of left renal artery  sequela,S35492S,
Other specified injury of unspecified renal artery  initial encounter,S35493A,
Other specified injury of unspecified renal artery  subsequent encounter,S35493D,
Other specified injury of unspecified renal artery  sequela,S35493S,
Other specified injury of right renal vein  initial encounter,S35494A,
Other specified injury of right renal vein  subsequent encounter,S35494D,
Other specified injury of right renal vein  sequela,S35494S,
Other specified injury of left renal vein  initial encounter,S35495A,
Other specified injury of left renal vein  subsequent encounter,S35495D,
Other specified injury of left renal vein  sequela,S35495S,
Other specified injury of unspecified renal vein  initial encounter,S35496A,
Other specified injury of unspecified renal vein  subsequent encounter,S35496D,
Other specified injury of unspecified renal vein  sequela,S35496S,
Injury of unspecified iliac blood vessel(s)  initial encounter,S3550XA,
Injury of unspecified iliac blood vessel(s)  subsequent encounter,S3550XD,
Injury of unspecified iliac blood vessel(s)  sequela,S3550XS,
Injury of right iliac artery  initial encounter,S35511A,
Injury of right iliac artery  subsequent encounter,S35511D,
Injury of right iliac artery  sequela,S35511S,
Injury of left iliac artery  initial encounter,S35512A,
Injury of left iliac artery  subsequent encounter,S35512D,
Injury of left iliac artery  sequela,S35512S,
Injury of unspecified iliac artery  initial encounter,S35513A,
Injury of unspecified iliac artery  subsequent encounter,S35513D,
Injury of unspecified iliac artery  sequela,S35513S,
Injury of right iliac vein  initial encounter,S35514A,
Injury of right iliac vein  subsequent encounter,S35514D,
Injury of right iliac vein  sequela,S35514S,
Injury of left iliac vein  initial encounter,S35515A,
Injury of left iliac vein  subsequent encounter,S35515D,
Injury of left iliac vein  sequela,S35515S,
Injury of unspecified iliac vein  initial encounter,S35516A,
Injury of unspecified iliac vein  subsequent encounter,S35516D,
Injury of unspecified iliac vein  sequela,S35516S,
Injury of right uterine artery  initial encounter,S35531A,
Injury of right uterine artery  subsequent encounter,S35531D,
Injury of right uterine artery  sequela,S35531S,
Injury of left uterine artery  initial encounter,S35532A,
Injury of left uterine artery  subsequent encounter,S35532D,
Injury of left uterine artery  sequela,S35532S,
Injury of unspecified uterine artery  initial encounter,S35533A,
