pain chest, hypertensive disease
shortness of breath, hypertensive disease
dizzy, hypertensive disease
dizziness, hypertensive disease
vertigo, hypertensive disease
nausia, hypertensive disease
asthenia, hypertensive disease
capitulation, hypertensive disease
fall, hypertensive disease
surrender, hypertensive disease
spill, hypertensive disease
tumble, hypertensive disease
Spodoptera, hypertensive disease
Hyphantria, hypertensive disease
drop, hypertensive disease
dip, hypertensive disease
free, hypertensive disease
downfall, hypertensive disease
pin, hypertensive disease
descent, hypertensive disease
declivity, hypertensive disease
decline, hypertensive disease
declination, hypertensive disease
declension, hypertensive disease
downslope, hypertensive disease
chump, hypertensive disease
fool, hypertensive disease
gull, hypertensive disease
mark, hypertensive disease
patsy, hypertensive disease
sucker, hypertensive disease
soft, hypertensive disease
mug, hypertensive disease
arnica, hypertensive disease
Leontodon, hypertensive disease
syncope, hypertensive disease
syncopation, hypertensive disease
faint, hypertensive disease
swoon, hypertensive disease
deliquium, hypertensive disease
dizzy, hypertensive disease
dizziness, hypertensive disease
vertigo, hypertensive disease
nausia, hypertensive disease
sweat sweating increased, hypertensive disease
palpitation, hypertensive disease
nausea, hypertensive disease
angina pectoris, hypertensive disease
pressure chest, hypertensive disease
polyuria, diabetes
polydypsia, diabetes
shortness of breath, diabetes
pain chest, diabetes
asthenia, diabetes
nausea, diabetes
orthopnea, diabetes
rattle, diabetes
rattling, diabetes
rale, diabetes
sweat sweating increased, diabetes
unresponsiveness, diabetes
deadness, diabetes
mental status changes, diabetes
dizzy, diabetes
dizziness, diabetes
vertigo, diabetes
nausia, diabetes
vomit, diabetes
vomiting, diabetes
emesis, diabetes
regurgitation, diabetes
disgorgement, diabetes
puking, diabetes
labored breathing, diabetes
feeling suicide, depression mental depressive disorder
suicidal, depression mental depressive disorder
suicide, depression mental depressive disorder
kill self, depression mental depressive disorder
self-destruction, depression mental depressive disorder
martyr, depression mental depressive disorder
sacrifice, depression mental depressive disorder
felo-de-se, depression mental depressive disorder
hallucinations auditory, depression mental depressive disorder
feeling hopeless, depression mental depressive disorder
weepiness, depression mental depressive disorder
tearfulness, depression mental depressive disorder
sleeplessness, depression mental depressive disorder
motor retardation, depression mental depressive disorder
irritable mood, depression mental depressive disorder
amnesia, depression mental depressive disorder
memory, depression mental depressive disorder
blackout, depression mental depressive disorder
mood depressed, depression mental depressive disorder
hallucinations visual, depression mental depressive disorder
concern, depression mental depressive disorder
worry, depression mental depressive disorder
headache, depression mental depressive disorder
vexation, depression mental depressive disorder
trouble, depression mental depressive disorder
agitation, depression mental depressive disorder
excitement, depression mental depressive disorder
turmoil, depression mental depressive disorder
upheaval, depression mental depressive disorder
hullabaloo, depression mental depressive disorder
tremor, depression mental depressive disorder
shudder, depression mental depressive disorder
earth, depression mental depressive disorder
microseism, depression mental depressive disorder
intoxication, depression mental depressive disorder
verbal auditory hallucinations, depression mental depressive disorder
energy increased, depression mental depressive disorder
trouble, depression mental depressive disorder
difficulty, depression mental depressive disorder
difficultness, depression mental depressive disorder
nightmare, depression mental depressive disorder
unable to concentrate, depression mental depressive disorder
homelessness, depression mental depressive disorder
pain chest, coronary arteriosclerosis coronary heart disease
angina pectoris, coronary arteriosclerosis coronary heart disease
shortness of breath, coronary arteriosclerosis coronary heart disease
hypokinesia, coronary arteriosclerosis coronary heart disease
sweat sweating increased, coronary arteriosclerosis coronary heart disease
pressure chest, coronary arteriosclerosis coronary heart disease
dyspnea on exertion, coronary arteriosclerosis coronary heart disease
orthopnea, coronary arteriosclerosis coronary heart disease
chest tightness, coronary arteriosclerosis coronary heart disease
cough, pneumonia
troche, pneumonia
pastille, pneumonia
pastil, pneumonia
fever, pneumonia
Acacia, pneumonia
blue, pneumonia
Eucalyptus, pneumonia
Georgia, pneumonia
bitter-bark, pneumonia
Pinckneya, pneumonia
decreased translucency, pneumonia
shortness of breath, pneumonia
rattle, pneumonia
rattling, pneumonia
rale, pneumonia
productive cough, pneumonia
pleuritic pain, pneumonia
yellow sputum, pneumonia
breath sounds decreased, pneumonia
chill, pneumonia
iciness, pneumonia
gelidity, pneumonia
frisson, pneumonia
shiver, pneumonia
quiver, pneumonia
shudder, pneumonia
thrill, pneumonia
tingle, pneumonia
pall, pneumonia
rhonchus, pneumonia
green sputum, pneumonia
productive cough, pneumonia
wheezing, pneumonia
haemoptysis, pneumonia
distress respiratory, pneumonia
